"Dummy ID","Legacy"
"3.0084706E7","C"
"3.0202876E7","F"
"3.0287922E7","C"
"3.0089191E7","S"
"3.0300948E7","F"
"3.0343003E7","S"
"3.0343003E7","S"
"3.0301182E7","S"
"3.0346175E7","O"
"3.0162264E7","S"
"3.0301195E7","O"
"3.0378207E7","O"
"3.0319031E7","O"
"3.009079E7","S"
"3.0183051E7","O"
"3.0358577E7","M"
"3.0253914E7","D"
"3.0233855E7","D"
"3.0129517E7","O"
"3.0090296E7","O"
"3.0227953E7","F"
"3.0308592E7","S"
"3.0207725E7","C"
"3.0202161E7","B"
"3.0308046E7","A"
"3.0309424E7","O"
"3.031686E7","O"
"3.0293889E7","S"
"3.0339467E7","O"
"3.0383849E7","S"
"3.0110264E7","M"
"3.0371941E7","C"
"3.0370589E7","S"
"3.0084667E7","O"
"3.0384902E7","O"
"3.0296372E7","B"
"3.0159105E7","S"
"3.0311127E7","S"
"3.0146469E7","B"
"3.0124915E7","A"
"2.9971372E7","A"
"3.0285244E7","M"
"3.0198885E7","M"
"3.0117973E7","M"
"3.0317172E7","O"
"3.0394366E7","S"
"3.0150356E7","S"
"3.0368262E7","O"
"3.0085317E7","M"
"3.0165397E7","S"
"3.0297802E7","C"
"3.018725E7","M"
"3.0203851E7","B"
"3.0112981E7","S"
"3.0232503E7","O"
"2.9966783E7","B"
"3.0302885E7","B"
"2.9347203E7","O"
"3.0324088E7","M"
"3.020766E7","S"
"3.0145689E7","S"
"3.0297646E7","C"
"3.0232282E7","M"
"3.034533E7","C"
"3.0312739E7","M"
"3.0238808E7","S"
"3.008338E7","C"
"3.0363075E7","S"
"3.0138929E7","S"
"3.0248857E7","F"
"3.0347761E7","M"
"2.9975116E7","D"
"3.0254161E7","S"
"3.0381613E7","S"
"3.0143388E7","B"
"3.0288507E7","M"
"3.0194166E7","O"
"3.0119728E7","O"
"3.0161341E7","O"
"3.0127177E7","O"
"3.0111798E7","M"
"2.9372072E7","F"
"3.0193295E7","A"
"3.0400489E7","F"
"3.0417389E7","S"
"2.996157E7","O"
"3.0224196E7","M"
"3.0178384E7","F"
"3.0192632E7","F"
"3.0243163E7","F"
"2.9964586E7","D"
"3.0079155E7","M"
"3.0498548E7","O"
"2.9965522E7","S"
"3.0399865E7","B"
"3.0195921E7","F"
"3.0290444E7","M"
"3.0212769E7","O"
"3.0308943E7","O"
"3.0213484E7","F"
"3.0203578E7","O"
"3.0104193E7","S"
"3.0281006E7","A"
"3.0311218E7","D"
"3.0310334E7","B"
"3.0318043E7","S"
"3.0213367E7","O"
"3.0126761E7","S"
"3.0208089E7","M"
"3.0108847E7","M"
"3.0316171E7","F"
"3.0227667E7","O"
"2.9962233E7","A"
"3.032401E7","O"
"3.0238327E7","M"
"3.0398305E7","D"
"3.0111759E7","F"
"3.0168608E7","O"
"2.997353E7","M"
"2.9962883E7","F"
"3.0343094E7","O"
"3.0174653E7","S"
"3.0167412E7","S"
"3.0192112E7","S"
"3.0225314E7","O"
"3.0130752E7","D"
"3.0111967E7","S"
"3.0076568E7","B"
"3.0136576E7","S"
"3.0202746E7","O"
"3.0238444E7","O"
"3.0249702E7","S"
"3.0348593E7","S"
"3.0079259E7","B"
"3.0170155E7","A"
"3.0151162E7","S"
"3.0341859E7","O"
"3.0302638E7","F"
"3.0225886E7","B"
"3.0278588E7","S"
"3.0185417E7","M"
"2.9365156E7","M"
"3.0299986E7","A"
"3.0153073E7","O"
"3.0354053E7","O"
"3.0328235E7","S"
"3.0200692E7","O"
"3.0255175E7","F"
"3.0294656E7","F"
"3.0234076E7","F"
"3.0239744E7","M"
"3.0179112E7","M"
"3.0231294E7","S"
"3.0221765E7","B"
"3.0132195E7","O"
"3.0291237E7","F"
"3.0315716E7","F"
"2.9361256E7","B"
"3.0148549E7","S"
"3.016814E7","F"
"3.0211534E7","O"
"3.0183636E7","M"
"3.0302027E7","D"
"3.028995E7","C"
"3.0167724E7","D"
"2.9965405E7","O"
"2.9940198E7","M"
"3.0288832E7","O"
"3.0196831E7","B"
"3.011861E7","M"
"3.0075814E7","O"
"3.0369081E7","S"
"3.0190838E7","B"
"3.0312024E7","C"
"3.0319837E7","O"
"3.0317224E7","S"
"3.0289144E7","S"
"3.0240017E7","M"
"3.0111681E7","M"
"3.0189369E7","B"
"3.0154113E7","F"
"3.0389621E7","B"
"3.0174718E7","C"
"3.0225964E7","S"
"3.0301897E7","B"
"3.0285023E7","S"
"3.0279602E7","M"
"3.026122E7","O"
"3.0299063E7","M"
"3.0158481E7","S"
"3.0276274E7","M"
"3.0129374E7","F"
"3.0309593E7","C"
"2.9966081E7","M"
"3.0226549E7","S"
"3.0406963E7","O"
"3.0307877E7","S"
"3.0263183E7","S"
"3.0351219E7","O"
"3.0322476E7","B"
"3.0396771E7","B"
"3.0356224E7","M"
"3.0329847E7","S"
"3.0131194E7","S"
"3.0387515E7","C"
"3.0117258E7","F"
"3.033818E7","D"
"3.0296112E7","M"
"3.0239263E7","S"
"3.0163486E7","S"
"3.0283879E7","M"
"3.0276742E7","F"
"3.0139059E7","S"
"3.0187081E7","O"
"3.0371876E7","B"
"2.9973712E7","S"
"3.0339649E7","S"
"3.0304822E7","A"
"3.0093286E7","C"
"3.0352636E7","S"
"3.0324244E7","O"
"3.0164331E7","O"
"3.0194101E7","M"
"3.0287181E7","O"
"3.0212704E7","O"
"3.0288741E7","S"
"3.0250482E7","F"
"3.0177565E7","O"
"2.9961921E7","S"
"3.0284646E7","O"
"3.01437E7","S"
"3.0159638E7","F"
"3.0109094E7","D"
"3.0197897E7","S"
"3.0190825E7","O"
"3.0252783E7","O"
"3.0319369E7","A"
"3.0377648E7","O"
"2.9362088E7","O"
"3.0273453E7","B"
"3.0088775E7","C"
"3.0163928E7","O"
"3.0236962E7","O"
"3.0223624E7","B"
"3.0247271E7","O"
"2.9956448E7","M"
"3.0358226E7","O"
"3.0134535E7","O"
"3.0310841E7","A"
"3.0201108E7","F"
"3.0136381E7","A"
"3.0085642E7","S"
"3.0293668E7","O"
"3.023743E7","O"
"3.0095041E7","S"
"3.0382185E7","C"
"3.0374632E7","O"
"3.0138669E7","F"
"3.0224989E7","O"
"3.0278666E7","O"
"3.0108613E7","M"
"3.0263352E7","O"
"3.0346383E7","O"
"3.0182323E7","M"
"3.0290782E7","A"
"3.0368223E7","F"
"3.0302859E7","F"
"3.021299E7","S"
"3.0401113E7","O"
"3.0145104E7","S"
"3.0262533E7","O"
"3.0242955E7","F"
"3.0196181E7","M"
"3.0202018E7","O"
"3.0222064E7","S"
"3.0076542E7","S"
"3.023145E7","M"
"3.0110407E7","O"
"3.030646E7","S"
"3.0236884E7","S"
"3.027357E7","B"
"3.0311478E7","O"
"3.0354885E7","D"
"3.0287935E7","F"
"3.0398123E7","F"
"3.0174263E7","O"
"3.0312869E7","S"
"3.0397616E7","S"
"3.0263872E7","S"
"3.0355808E7","S"
"3.0260661E7","O"
"3.0089724E7","S"
"2.9965847E7","O"
"3.0304536E7","M"
"3.0310893E7","O"
"3.0429804E7","F"
"3.0205073E7","S"
"3.0106767E7","A"
"3.0252796E7","C"
"3.0134067E7","C"
"3.0161783E7","B"
"3.0380105E7","M"
"3.0224053E7","S"
"3.0140021E7","S"
"3.0086474E7","O"
"3.0101697E7","O"
"3.0238431E7","S"
"3.0138786E7","A"
"3.0380703E7","S"
"3.0193633E7","S"
"3.0188017E7","B"
"3.0300883E7","A"
"3.0423642E7","S"
"3.0279394E7","S"
"3.029788E7","O"
"3.0152475E7","A"
"3.0190448E7","S"
"3.0205736E7","M"
"3.048261E7","S"
"3.0273427E7","O"
"3.0258906E7","B"
"3.0083874E7","O"
"3.0340039E7","M"
"3.0288377E7","S"
"2.996196E7","O"
"3.0122965E7","O"
"3.0483767E7","S"
"2.9359644E7","M"
"3.0160379E7","S"
"3.027825E7","S"
"3.0346409E7","S"
"3.0441348E7","O"
"3.0258594E7","O"
"3.0182219E7","B"
"3.0184728E7","M"
"3.0078869E7","S"
"3.0164981E7","O"
"3.0278458E7","F"
"3.0338661E7","F"
"3.0288884E7","B"
"3.01268E7","M"
"3.0300389E7","S"
"3.0279173E7","S"
"3.0117453E7","S"
"3.0083276E7","M"
"3.0351271E7","S"
"3.0291341E7","B"
"3.0309502E7","S"
"3.0183532E7","F"
"3.0301468E7","S"
"3.0305446E7","S"
"3.0301611E7","F"
"3.0325895E7","O"
"3.011172E7","S"
"3.0160353E7","S"
"3.0245919E7","O"
"2.9975883E7","O"
"3.0080546E7","O"
"3.0323113E7","F"
"3.0222389E7","M"
"3.0187523E7","O"
"3.0082184E7","C"
"3.021364E7","S"
"3.0346708E7","S"
"3.0123433E7","M"
"3.0188459E7","S"
"3.032882E7","S"
"3.0107508E7","C"
"3.0301403E7","O"
"3.0114593E7","F"
"2.9370564E7","S"
"3.0175927E7","M"
"3.0306967E7","F"
"3.0277769E7","F"
"3.0189174E7","O"
"3.0184793E7","S"
"3.0261558E7","M"
"3.0158455E7","S"
"3.0221908E7","M"
"3.0348125E7","M"
"3.027877E7","O"
"2.9970423E7","M"
"3.0146131E7","S"
"3.0127229E7","O"
"3.0150785E7","O"
"3.0253277E7","M"
"3.0176434E7","O"
"3.0161159E7","S"
"3.0235467E7","F"
"3.0092285E7","O"
"3.0112617E7","S"
"3.0309632E7","S"
"3.023925E7","O"
"3.0130973E7","O"
"3.0132234E7","O"
"2.99656E7","S"
"3.0225769E7","S"
"3.0138123E7","S"
"3.0322138E7","S"
"3.0336074E7","O"
"3.0319226E7","M"
"3.0355301E7","F"
"3.0401555E7","O"
"3.0134678E7","M"
"3.0327975E7","O"
"3.0126683E7","B"
"3.0229773E7","S"
"3.0157077E7","O"
"3.021156E7","O"
"3.0509806E7","M"
"3.0157038E7","S"
"3.0346864E7","F"
"3.0371759E7","O"
"3.0307058E7","M"
"3.0222402E7","O"
"3.0388035E7","O"
"3.0262039E7","D"
"3.03582E7","M"
"3.0293343E7","O"
"3.0094677E7","O"
"3.0161419E7","O"
"3.0341001E7","S"
"3.0466763E7","S"
"3.0280252E7","S"
"2.9348113E7","O"
"3.0251379E7","S"
"2.996508E7","O"
"3.0140008E7","O"
"3.026213E7","B"
"3.0110394E7","M"
"3.0224417E7","O"
"3.0338869E7","B"
"3.0184533E7","D"
"3.0327325E7","M"
"3.0194686E7","O"
"3.0223858E7","M"
"3.0126319E7","S"
"3.0245516E7","O"
"3.0441244E7","M"
"3.0295254E7","A"
"3.0380209E7","B"
"3.0164253E7","S"
"3.0439593E7","O"
"3.0284165E7","S"
"3.0307643E7","S"
"3.0111603E7","D"
"3.0181491E7","O"
"3.0194595E7","O"
"3.0239172E7","M"
"3.0145936E7","M"
"3.011965E7","O"
"2.9964794E7","S"
"3.0112292E7","O"
"3.0138279E7","O"
"3.0293213E7","S"
"3.0094235E7","S"
"3.0139267E7","S"
"3.0255747E7","S"
"3.0210065E7","O"
"3.0238028E7","D"
"3.0342054E7","B"
"3.012927E7","F"
"3.0117323E7","B"
"3.0300116E7","S"
"3.0213432E7","O"
"3.0296333E7","O"
"3.0377817E7","S"
"3.021104E7","O"
"3.0280369E7","O"
"3.0198092E7","A"
"3.0150889E7","O"
"3.0171494E7","M"
"3.0287259E7","M"
"3.0296983E7","B"
"3.0193334E7","S"
"3.0195219E7","B"
"3.0298504E7","B"
"3.0232828E7","O"
"3.014448E7","O"
"3.0280967E7","B"
"3.0236559E7","B"
"3.0277691E7","O"
"2.9380574E7","S"
"3.0422225E7","F"
"3.0276976E7","C"
"3.0209129E7","O"
"3.0367612E7","S"
"3.0348671E7","M"
"3.0252185E7","S"
"3.0164357E7","O"
"3.0200614E7","B"
"3.0176226E7","S"
"2.9963013E7","B"
"3.0350803E7","S"
"3.0278822E7","S"
"3.0134626E7","O"
"3.0397096E7","M"
"3.030555E7","O"
"3.0225184E7","B"
"2.9961973E7","M"
"3.0213614E7","F"
"3.0504476E7","S"
"3.0278146E7","S"
"3.0161081E7","B"
"3.0196623E7","M"
"3.0405117E7","S"
"3.0323191E7","O"
"3.0343133E7","O"
"3.0117882E7","S"
"3.024302E7","F"
"3.0479477E7","S"
"3.0219334E7","B"
"3.0201602E7","M"
"3.0216253E7","S"
"3.0162173E7","O"
"2.9928511E7","S"
"3.0191982E7","S"
"3.0348619E7","O"
"2.9957384E7","O"
"3.0281448E7","S"
"3.0204475E7","S"
"3.0406885E7","F"
"3.0218151E7","A"
"3.0248155E7","M"
"2.9335867E7","M"
"3.0287571E7","O"
"3.02893E7","O"
"3.0255682E7","M"
"2.9950403E7","D"
"3.0103257E7","C"
"3.0220283E7","O"
"3.0244619E7","M"
"3.0280798E7","S"
"3.038043E7","O"
"3.0329509E7","D"
"3.0359058E7","O"
"3.0202291E7","O"
"3.0130557E7","O"
"3.0397083E7","B"
"3.0210494E7","S"
"3.0313233E7","S"
"3.0203929E7","M"
"3.0397044E7","S"
"3.0402803E7","O"
"3.0347228E7","O"
"3.0114814E7","O"
"3.0134561E7","O"
"3.0095028E7","O"
"3.0265471E7","O"
"3.0165761E7","O"
"3.040318E7","M"
"3.0408068E7","S"
"3.0167269E7","S"
"3.0237586E7","S"
"3.0086786E7","O"
"2.9965925E7","S"
"3.0249E7","O"
"3.0404324E7","C"
"3.0163603E7","O"
"3.0366013E7","S"
"2.9799018E7","S"
"3.0077517E7","S"
"3.0107287E7","S"
"3.0295878E7","O"
"3.0290171E7","S"
"3.0328378E7","O"
"3.023704E7","F"
"3.038147E7","O"
"3.0211066E7","S"
"3.0348502E7","F"
"3.0296268E7","S"
"3.0300701E7","S"
"2.9932567E7","A"
"3.0178891E7","S"
"3.0201862E7","O"
"3.0102841E7","O"
"3.0090777E7","O"
"3.0278796E7","S"
"3.0399163E7","O"
"3.0227966E7","O"
"3.0362503E7","O"
"2.9938651E7","B"
"3.0276508E7","S"
"3.0329067E7","O"
"3.0200055E7","O"
"2.9364805E7","S"
"3.0115984E7","O"
"3.009118E7","S"
"3.0112552E7","M"
"3.0290639E7","S"
"3.0368236E7","O"
"3.0251769E7","O"
"2.935603E7","O"
"3.0331706E7","O"
"3.029034E7","O"
"3.0393365E7","S"
"2.9350388E7","S"
